row,pot,mass,ber,fungus,cracking,penetrometer,sugar_avg,date_harvest,date_analysis,treatment,transplantation,germination,fruit,daysfromharvesttoanalysis,daysfromgermination,plant,ripeness,sugar_grams
B,1,219.9,TRUE,TRUE,FALSE,NA,NA,2024-08-09T00:00:00Z,2024-08-12T00:00:00Z,Transplantation,TRUE,FALSE,1,3,103,B1,NA,NA
C,2,117.6,TRUE,TRUE,FALSE,NA,NA,2024-08-09T00:00:00Z,2024-08-12T00:00:00Z,Germination,FALSE,TRUE,1,3,103,C2,NA,NA
C,5,297.9,TRUE,TRUE,FALSE,NA,NA,2024-08-09T00:00:00Z,2024-08-12T00:00:00Z,Germination,FALSE,TRUE,1,3,103,C5,NA,NA
A,5,108.9,TRUE,FALSE,FALSE,NA,NA,2024-08-09T00:00:00Z,2024-08-12T00:00:00Z,Control,FALSE,FALSE,1,3,103,A5,NA,NA
D,12,329.7,TRUE,FALSE,FALSE,NA,NA,2024-08-09T00:00:00Z,2024-08-12T00:00:00Z,Germ+Trans,TRUE,TRUE,1,3,103,D12,NA,NA
A,5,131.1,TRUE,FALSE,FALSE,NA,NA,2024-08-09T00:00:00Z,2024-08-12T00:00:00Z,Control,FALSE,FALSE,1,3,103,A5,NA,NA
C,7,159.3,FALSE,FALSE,FALSE,0.9,5.5,2024-08-09T00:00:00Z,2024-08-14T00:00:00Z,Germination,FALSE,TRUE,1,5,105,C7,0.8,8.7615
A,8,147.9,FALSE,FALSE,TRUE,1.1,5.9,2024-08-09T00:00:00Z,2024-08-14T00:00:00Z,Control,FALSE,FALSE,1,5,105,A8,0.75,8.7261
C,7,232.2,FALSE,FALSE,FALSE,0.8,6,2024-08-09T00:00:00Z,2024-08-14T00:00:00Z,Germination,FALSE,TRUE,1,5,105,C7,0.8200000000000001,13.931999999999999
B,9,331.5,FALSE,FALSE,TRUE,1.3,5.4,2024-08-09T00:00:00Z,2024-08-14T00:00:00Z,Transplantation,TRUE,FALSE,1,5,105,B9,0.7,17.901000000000003
B,11,185.3,FALSE,FALSE,FALSE,1,6.9,2024-08-09T00:00:00Z,2024-08-14T00:00:00Z,Transplantation,TRUE,FALSE,1,5,105,B11,0.77,12.785700000000002
