"","Treatment","Transplantation","Germination","Row","Pot","Plant","DateHarvest","DateAnalysis","DaysFromHarvestToAnalysis","DaysFromGermination","Mass","BER","Penetrometer","Ripeness","SugarAvg","SugarGrams","Fruit"
"63","Control",FALSE,FALSE,"A","7","A7","2024-08-09","2024-08-14",5,105,222,FALSE,1,0.77,0.063,13.986,1
"64","Control",FALSE,FALSE,"A","10","A10","2024-08-09","2024-08-14",5,105,112.5,FALSE,0.3,0.93,0.072,8.1,1
"65","Transplantation",TRUE,FALSE,"B","2","B2","2024-08-09","2024-08-14",5,105,238.6,FALSE,1.2,0.73,0.052,12.4072,1
"66","Control",FALSE,FALSE,"A","6","A6","2024-08-09","2024-08-14",5,105,149.6,FALSE,0.8,0.82,0.06,8.976,1
"67","Control",FALSE,FALSE,"A","6","A6","2024-08-09","2024-08-14",5,105,146.5,FALSE,1,0.77,0.061,8.9365,1
"68","Control",FALSE,FALSE,"A","3","A3","2024-08-09","2024-08-14",5,105,107.6,FALSE,1,0.77,0.061,6.5636,1
"69","Control",FALSE,FALSE,"A","6","A6","2024-08-09","2024-08-14",5,105,148.9,FALSE,1.3,0.7,0.061,9.0829,1
"70","Control",FALSE,FALSE,"A","1","A1","2024-08-09","2024-08-14",5,105,355.7,FALSE,0.2,0.95,0.059,20.9863,1
"71","Control",FALSE,FALSE,"A","5","A5","2024-08-09","2024-08-14",5,105,138.1,FALSE,1,0.77,0.064,8.8384,1
"72","Control",FALSE,FALSE,"A","9","A9","2024-08-09","2024-08-14",5,105,230,FALSE,1,0.77,0.067,15.41,1
"73","Control",FALSE,FALSE,"A","7","A7","2024-08-09","2024-08-14",5,105,228.3,FALSE,1,0.77,0.071,16.2093,1
"74","Germ+Trans",TRUE,TRUE,"D","9","D9","2024-08-09","2024-08-14",5,105,329.2,FALSE,0.8,0.82,0.064,21.0688,1
"75","Transplantation",TRUE,FALSE,"B","9","B9","2024-08-09","2024-08-14",5,105,178.4,FALSE,1.2,0.73,0.067,11.9528,1
"76","Transplantation",TRUE,FALSE,"B","1","B1","2024-08-09","2024-08-14",5,105,264.8,FALSE,0.5,0.89,0.055,14.564,1
"77","Germ+Trans",TRUE,TRUE,"D","9","D9","2024-08-09","2024-08-14",5,105,325.1,FALSE,0.8,0.82,0.068,22.1068,1
"78","Control",FALSE,FALSE,"A","1","A1","2024-08-09","2024-08-14",5,105,300.8,FALSE,0.4,0.91,0.061,18.3488,1
"79","Control",FALSE,FALSE,"A","11","A11","2024-08-09","2024-08-14",5,105,255.5,FALSE,1,0.77,0.06,15.33,1
"80","Control",FALSE,FALSE,"A","6","A6","2024-08-09","2024-08-14",5,105,252.9,FALSE,0.7,0.84,0.063,15.9327,1
"81","Transplantation",TRUE,FALSE,"B","2","B2","2024-08-09","2024-08-14",5,105,197.2,FALSE,0.5,0.89,0.054,10.6488,1
"82","Control",FALSE,FALSE,"A","8","A8","2024-08-09","2024-08-14",5,105,250.2,FALSE,1.3,0.7,0.056,14.0112,1
"83","Transplantation",TRUE,FALSE,"B","9","B9","2024-08-09","2024-08-14",5,105,311.5,FALSE,0.8,0.82,0.063,19.6245,1
"84","Transplantation",TRUE,FALSE,"B","11","B11","2024-08-09","2024-08-14",5,105,215.1,FALSE,0.9,0.8,0.07,15.057,1
"85","Germ+Trans",TRUE,TRUE,"D","1","D1","2024-08-13","2024-08-14",1,105,256.3,FALSE,1.2,0.73,0.064,16.4032,1
"86","Germ+Trans",TRUE,TRUE,"D","11","D11","2024-08-13","2024-08-14",1,105,159.5,FALSE,0.9,0.8,0.065,10.3675,1
"87","Transplantation",TRUE,FALSE,"B","4","B4","2024-08-13","2024-08-14",1,105,323.8,FALSE,1.1,0.75,0.069,22.3422,1
"88","Germination",FALSE,TRUE,"C","4","C4","2024-08-13","2024-08-14",1,105,250.2,FALSE,1,0.77,0.066,16.5132,1
"89","Germination",FALSE,TRUE,"C","3","C3","2024-08-13","2024-08-14",1,105,280.3,FALSE,0.8,0.82,0.063,17.6589,1
"90","Germination",FALSE,TRUE,"C","4","C4","2024-08-13","2024-08-14",1,105,195.9,FALSE,1.3,0.7,0.067,13.1253,1
"91","Transplantation",TRUE,FALSE,"B","12","B12","2024-08-13","2024-08-14",1,105,300.3,FALSE,1,0.77,0.066,19.8198,1
"92","Transplantation",TRUE,FALSE,"B","11","B11","2024-08-13","2024-08-14",1,105,240.2,FALSE,1.2,0.73,0.072,17.2944,1
"93","Germination",FALSE,TRUE,"C","1","C1","2024-08-13","2024-08-14",1,105,174.4,FALSE,1,0.77,0.071,12.3824,1
"94","Transplantation",TRUE,FALSE,"B","11","B11","2024-08-13","2024-08-14",1,105,236,FALSE,1,0.77,0.073,17.228,1
"95","Transplantation",TRUE,FALSE,"B","5","B5","2024-08-13","2024-08-14",1,105,350.1,FALSE,1,0.77,0.065,22.7565,1
